,county,state,FIPS Code,assisted_housing,active_assisted_housing,gun_incidents_by_area,%adults<high_school_dip_1980,%adults<high_school_dip_1990,%adults<high_school_dip_2000,%adults<high_school_dip_2015-19,avg_%adults<high_school_dip,Unemployment_rate_2000,Unemployment_rate_2001,Unemployment_rate_2002,Unemployment_rate_2003,Unemployment_rate_2004,Unemployment_rate_2005,Unemployment_rate_2006,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,avg unemploy rate 2015_2020
0,Autauga County,AL,1001,1,0,40,40.6,30.0,21.3,11.5,25.849999999999998,4.1,4.1,4.8,5.0,4.7,3.8,3.3,3.4,5.3,8.9,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4.0,3.6,2.7,4.9,121,112.5,4.25
1,Baldwin County,AL,1003,12,7,86,39.7,26.8,18.0,9.2,23.425,3.7,4.3,5.0,4.9,5.1,4.0,3.2,3.2,4.8,8.9,9.9,9.0,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.8,5.6,-33,115.6,4.533333333333334
2,Barbour County,AL,1005,3,1,21,55.1,44.4,35.3,26.8,40.400000000000006,5.6,7.6,7.7,7.1,7.1,5.7,5.6,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6.0,5.1,3.8,7.0,-124,69.5,6.533333333333332
3,Bibb County,AL,1007,1,1,8,59.5,48.2,36.8,20.9,41.35,5.4,6.8,7.0,5.9,5.4,4.4,4.2,4.2,6.0,12.2,11.2,10.4,8.8,8.0,7.2,6.7,6.5,4.5,4.0,3.1,6.6,46,92.6,5.233333333333333
4,Blount County,AL,1009,2,0,21,53.9,39.5,29.6,19.5,35.625,3.5,3.7,5.4,4.6,4.1,3.6,3.2,3.2,4.8,9.2,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.2,3.5,2.7,4.1,-90,102.2,4.216666666666666
5,Butler County,AL,1013,2,1,25,55.0,47.2,32.2,15.0,37.35,7.9,7.6,7.9,8.6,9.4,6.4,5.7,6.3,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.7,4.7,3.7,8.8,8,77.2,6.233333333333333
6,Calhoun County,AL,1015,9,5,96,43.3,32.6,26.1,15.6,29.4,5.1,5.6,6.0,5.9,5.4,4.5,4.0,4.0,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.6,7.1,-125,92.2,5.683333333333334
7,Chambers County,AL,1017,1,1,22,54.6,45.7,35.8,18.4,38.62500000000001,4.4,5.5,6.7,6.4,6.9,5.7,5.8,6.6,14.9,18.1,14.6,11.8,10.1,8.1,6.7,6.1,5.5,4.2,3.9,2.9,6.8,31,81.2,4.8999999999999995
8,Cherokee County,AL,1019,1,1,14,56.8,46.5,36.5,18.4,39.550000000000004,4.5,4.6,4.8,4.9,4.7,4.3,4.2,4.3,5.9,10.7,10.5,9.6,8.2,6.7,5.8,5.5,5.1,4.2,3.6,2.9,4.6,-98,88.8,4.316666666666666
9,Chilton County,AL,1021,1,1,21,54.0,43.4,33.8,18.2,37.349999999999994,4.3,4.8,5.1,5.0,4.6,3.9,3.6,3.5,5.2,9.8,10.1,9.1,7.4,6.7,6.2,5.7,5.5,4.2,3.6,2.7,5.0,28,96.0,4.45
10,Clarke County,AL,1025,3,1,2,50.6,39.7,29.2,19.4,34.725,7.4,9.9,9.1,8.6,8.8,6.3,6.2,6.2,9.3,15.2,19.5,18.6,15.4,14.0,12.1,11.8,10.9,8.8,7.4,5.8,9.0,46,84.6,8.950000000000001
11,Clay County,AL,1027,2,0,1,53.4,46.2,34.0,23.3,39.225,6.2,6.1,6.2,7.2,6.3,4.9,4.5,5.6,8.2,15.4,14.2,11.7,9.6,8.5,7.1,6.2,6.0,4.5,3.8,3.0,4.0,114,78.3,4.583333333333333
12,Cleburne County,AL,1029,2,1,8,61.7,50.2,37.1,21.0,42.5,4.1,5.3,5.0,6.0,5.2,3.9,3.5,3.7,5.2,9.3,9.8,9.6,8.4,7.8,6.6,6.1,6.0,4.6,4.2,3.2,4.6,76,99.0,4.783333333333332
13,Coffee County,AL,1031,4,3,33,43.4,32.8,26.8,14.1,29.274999999999995,5.9,6.3,5.2,5.5,5.3,3.9,3.7,3.9,5.0,7.8,8.5,8.1,7.2,7.0,6.6,6.0,5.9,4.5,3.9,2.9,4.4,-45,110.7,4.599999999999999
14,Colbert County,AL,1033,4,3,40,44.2,34.8,26.7,14.8,30.125,5.6,6.9,8.4,7.5,7.0,5.4,4.6,4.7,6.7,10.7,11.3,10.1,9.0,8.3,8.3,8.0,7.0,5.4,4.6,3.8,6.6,91,90.2,5.8999999999999995
15,Conecuh County,AL,1035,2,0,4,57.5,47.3,32.3,15.7,38.199999999999996,6.6,7.4,8.2,8.5,8.4,6.1,5.6,6.5,9.7,18.4,16.9,15.0,12.2,10.9,10.3,9.3,8.4,6.3,5.2,4.0,7.3,67,80.2,6.75
16,Covington County,AL,1039,5,3,19,55.7,42.7,31.6,16.6,36.65,7.0,6.4,5.9,6.9,6.6,4.5,3.8,4.0,6.1,9.9,10.2,9.8,8.6,8.2,7.7,7.2,6.8,5.4,4.6,3.5,4.9,36,86.6,5.3999999999999995
17,Cullman County,AL,1043,4,3,32,53.4,41.2,29.6,18.4,35.65,4.2,4.7,6.0,5.8,5.1,4.0,3.4,3.4,5.0,9.4,10.3,9.5,7.9,6.8,6.0,5.3,5.0,3.9,3.3,2.6,4.3,-47,98.3,4.066666666666667
18,Dale County,AL,1045,6,3,33,35.1,25.8,22.2,13.9,24.250000000000004,5.3,5.6,5.7,5.3,5.3,4.4,4.6,4.0,5.6,8.8,8.7,8.3,7.6,7.5,7.0,6.4,5.8,4.6,4.2,3.2,4.9,64,87.2,4.849999999999999
19,Dallas County,AL,1047,7,5,142,46.5,40.4,29.7,18.2,33.7,8.1,9.3,11.4,11.3,9.9,8.5,8.1,8.5,11.5,19.6,16.6,15.0,13.2,12.4,11.2,9.6,9.2,7.7,6.5,5.5,10.7,-14,65.7,8.200000000000001
20,DeKalb County,AL,1049,2,2,40,57.3,47.0,36.2,25.2,41.425,4.1,4.9,5.2,5.7,5.7,5.1,4.1,4.4,6.0,13.1,12.4,11.7,9.3,7.7,6.8,6.1,6.1,4.6,3.8,2.8,4.5,-11,85.5,4.6499999999999995
21,Elmore County,AL,1051,1,0,44,42.3,33.5,22.4,13.4,27.9,4.0,4.3,4.8,5.1,4.8,3.7,3.4,3.4,5.3,8.7,9.0,8.4,7.1,6.2,5.7,5.1,4.8,3.8,3.4,2.6,4.9,102,120.4,4.1000000000000005
22,Escambia County,AL,1053,4,4,28,49.2,40.1,31.5,18.9,34.925000000000004,5.3,6.2,8.7,8.6,7.5,5.5,4.9,5.4,7.8,12.4,11.6,10.7,9.4,8.7,8.0,7.1,6.7,5.1,4.5,3.5,6.0,-40,82.5,5.483333333333333
23,Etowah County,AL,1055,13,7,76,45.1,35.9,25.9,15.4,30.575000000000003,5.9,6.7,6.4,6.5,6.3,4.7,4.2,4.6,6.2,10.5,10.8,10.0,8.5,7.7,7.0,6.2,5.9,4.7,4.1,3.4,7.7,39,83.1,5.333333333333333
24,Fayette County,AL,1057,4,3,1,56.4,43.4,33.9,17.4,37.775,5.9,6.4,8.6,6.9,6.8,4.4,4.2,4.8,7.5,12.9,12.8,11.0,8.8,8.4,7.8,7.1,6.8,4.9,4.1,3.1,5.0,-76,85.4,5.166666666666667
